"cp_dest","cp_origin","category","num_cards","num_payments","incomes","incomes_per","contiguous","Freq","id","lon_origin","lat_origin","lon_dest","lat_dest"
28023,28039,"es_barsandrestaurants",110,130,5926.61,0.99,"no",3,"38",-3.70775582801526,40.4617603179843,-3.78085002716303,40.4643151105517
28023,28027,"es_sportsandtoys",11,15,3318.89,3.29,"no",3,"26",-3.64058063068962,40.4433232252492,-3.78085002716303,40.4643151105517
28023,28033,"es_sportsandtoys",20,25,1171.07,0.99,"no",3,"32",-3.65376686065869,40.4752984230078,-3.78085002716303,40.4643151105517
28023,28020,"es_sportsandtoys",18,19,996.66,1.23,"no",3,"19",-3.69533506925182,40.4562555714859,-3.78085002716303,40.4643151105517
28023,28040,"es_food",18,25,1734.65,1.58,"si",3,"39",-3.73165847694257,40.4482996639303,-3.78085002716303,40.4643151105517
28023,28045,"es_food",53,93,4092.68,0.23,"no",3,"44",-3.6879812051505,40.3961619399782,-3.78085002716303,40.4643151105517
28023,28028,"es_hyper",135,212,17814.2,1.21,"no",3,"27",-3.66459593812063,40.4339998364382,-3.78085002716303,40.4643151105517
28023,28019,"es_transportation",204,238,8843.58,1.05,"no",3,"18",-3.72193638160057,40.3951245858191,-3.78085002716303,40.4643151105517
28023,28048,"es_food",4,5,547.65,0.92,"si",3,"47",-3.79582337237821,40.5432821391914,-3.78085002716303,40.4643151105517
28023,28001,"es_fashion",95,264,13204.2,3.4,"no",3,"0",-3.6827947428548,40.4266206569017,-3.78085002716303,40.4643151105517
28023,28005,"es_barsandrestaurants",152,250,7554.73,0.77,"no",3,"4",-3.71127263886214,40.4071758962516,-3.78085002716303,40.4643151105517
28023,28006,"es_otherservices",44,52,1965.11,0.58,"no",3,"5",-3.68059085538121,40.4366683635042,-3.78085002716303,40.4643151105517
28023,28029,"es_health",10,12,1233.61,0.21,"no",3,"28",-3.6987747324012,40.4763528875091,-3.78085002716303,40.4643151105517
28023,28020,"es_food",65,83,3767.59,0.42,"no",3,"19",-3.69533506925182,40.4562555714859,-3.78085002716303,40.4643151105517
28023,28031,"es_hyper",10,12,1094.32,0.26,"no",3,"30",-3.62475944691038,40.3804216676855,-3.78085002716303,40.4643151105517
28023,28046,"es_sportsandtoys",4,4,243.57,1.05,"no",3,"45",-3.68640345597386,40.4629414867152,-3.78085002716303,40.4643151105517
28023,28022,"es_health",3,4,416.6,0.11,"no",3,"21",-3.58559366701399,40.4406343679154,-3.78085002716303,40.4643151105517
28023,28015,"es_food",101,175,10746.64,1.59,"no",3,"14",-3.70949449786892,40.4337829665051,-3.78085002716303,40.4643151105517
28023,28017,"es_fashion",8,9,431.83,0.03,"no",3,"16",-3.64187532573015,40.4254521976648,-3.78085002716303,40.4643151105517
28023,28049,"es_wellnessandbeauty",60,71,3847.7,5.06,"no",3,"48",-3.70390514687185,40.5216356445466,-3.78085002716303,40.4643151105517
28023,28028,"es_transportation",208,255,9287.46,1.16,"no",3,"27",-3.66459593812063,40.4339998364382,-3.78085002716303,40.4643151105517
28023,28021,"es_wellnessandbeauty",3,3,330.1,0.22,"no",3,"20",-3.6927929082795,40.3406527253158,-3.78085002716303,40.4643151105517
28023,28045,"es_otherservices",66,82,1245.85,0.38,"no",3,"44",-3.6879812051505,40.3961619399782,-3.78085002716303,40.4643151105517
28023,28019,"all",692,995,50281.1,0.86,"no",3,"18",-3.72193638160057,40.3951245858191,-3.78085002716303,40.4643151105517
28023,28043,"es_fashion",71,180,6867,0.47,"no",3,"42",-3.64148264581779,40.4595434740099,-3.78085002716303,40.4643151105517
28023,28039,"es_health",7,9,673.13,0.13,"no",3,"38",-3.70775582801526,40.4617603179843,-3.78085002716303,40.4643151105517
28023,28013,"es_wellnessandbeauty",3,3,120.5,0.17,"no",3,"12",-3.70967410612432,40.4194931916903,-3.78085002716303,40.4643151105517
28023,28017,"es_food",8,9,431.83,0.03,"no",3,"16",-3.64187532573015,40.4254521976648,-3.78085002716303,40.4643151105517
28023,28018,"es_transportation",48,60,2188.61,0.28,"no",3,"17",-3.65241322200622,40.3849719259345,-3.78085002716303,40.4643151105517
28023,28005,"es_otherservices",36,46,940.27,0.27,"no",3,"4",-3.71127263886214,40.4071758962516,-3.78085002716303,40.4643151105517
28023,28004,"es_sportsandtoys",4,5,379.79,0.58,"no",3,"3",-3.69826357088344,40.4253571549298,-3.78085002716303,40.4643151105517
28023,28011,"es_sportsandtoys",13,13,633.84,0.94,"si",3,"10",-3.75245846368551,40.4209040062534,-3.78085002716303,40.4643151105517
28023,28017,"es_otherservices",57,87,1126,0.29,"no",3,"16",-3.64187532573015,40.4254521976648,-3.78085002716303,40.4643151105517
28023,28046,"es_health",16,26,1211.44,0.62,"no",3,"45",-3.68640345597386,40.4629414867152,-3.78085002716303,40.4643151105517
28023,28043,"es_sportsandtoys",12,18,826.23,0.53,"no",3,"42",-3.64148264581779,40.4595434740099,-3.78085002716303,40.4643151105517
28023,28022,"es_transportation",138,166,6302.31,0.65,"no",3,"21",-3.58559366701399,40.4406343679154,-3.78085002716303,40.4643151105517
28023,28003,"es_wellnessandbeauty",20,21,5792.53,1.39,"no",3,"2",-3.70358049456422,40.4439344680471,-3.78085002716303,40.4643151105517
28023,28019,"es_hyper",316,468,27626.71,3.74,"no",3,"18",-3.72193638160057,40.3951245858191,-3.78085002716303,40.4643151105517
28023,28012,"es_otherservices",27,38,742.4,0.47,"no",3,"11",-3.6994432279276,40.4108426467081,-3.78085002716303,40.4643151105517
28023,28016,"es_transportation",150,225,8321.97,1.43,"no",3,"15",-3.67192360380914,40.4604242172473,-3.78085002716303,40.4643151105517
28023,28009,"es_food",30,44,1911.38,0.3,"no",3,"8",-3.6770972594287,40.4181727607356,-3.78085002716303,40.4643151105517
28023,28035,"es_sportsandtoys",55,61,6643.99,4.5,"si",3,"34",-3.73369391897679,40.477443809722,-3.78085002716303,40.4643151105517
28023,28050,"all",1002,1441,73642.91,0.94,"no",3,"49",-3.66104813663535,40.4999045859597,-3.78085002716303,40.4643151105517
28023,28010,"es_hyper",155,264,17541.03,1.71,"no",3,"9",-3.69540345003468,40.4341148188681,-3.78085002716303,40.4643151105517
28023,28033,"es_transportation",162,183,7501.09,0.54,"no",3,"32",-3.65376686065869,40.4752984230078,-3.78085002716303,40.4643151105517
28023,28040,"es_fashion",18,25,1734.65,1.58,"si",3,"39",-3.73165847694257,40.4482996639303,-3.78085002716303,40.4643151105517
28023,28021,"es_hyper",166,255,16051.61,2.5,"no",3,"20",-3.6927929082795,40.3406527253158,-3.78085002716303,40.4643151105517
28023,28047,"es_otherservices",14,14,245.4,0.13,"no",3,"46",-3.74648103459094,40.3942375784472,-3.78085002716303,40.4643151105517
28023,28002,"es_transportation",262,334,14523.56,1.25,"no",3,"1",-3.67349407565516,40.4473897205517,-3.78085002716303,40.4643151105517
28023,28028,"all",574,894,49061.26,0.63,"no",3,"27",-3.66459593812063,40.4339998364382,-3.78085002716303,40.4643151105517
28023,28001,"es_hyper",114,193,14416.16,1.55,"no",3,"0",-3.6827947428548,40.4266206569017,-3.78085002716303,40.4643151105517
28023,28034,"es_home",31,38,1518.63,0.78,"no",3,"33",-3.6933217956549,40.4946657871205,-3.78085002716303,40.4643151105517
28023,28024,"es_hyper",892,1218,71002.31,20.09,"no",3,"23",-3.79616738012501,40.3872559720786,-3.78085002716303,40.4643151105517
28023,28046,"es_fashion",36,67,3847.25,1.83,"no",3,"45",-3.68640345597386,40.4629414867152,-3.78085002716303,40.4643151105517
28023,28033,"es_barsandrestaurants",159,190,7666.99,0.73,"no",3,"32",-3.65376686065869,40.4752984230078,-3.78085002716303,40.4643151105517
28023,28047,"es_food",46,63,2459.85,0.23,"no",3,"46",-3.74648103459094,40.3942375784472,-3.78085002716303,40.4643151105517
28023,28016,"es_health",24,38,1399.15,0.31,"no",3,"15",-3.67192360380914,40.4604242172473,-3.78085002716303,40.4643151105517
28023,28011,"all",1034,1567,83873.28,1.72,"si",3,"10",-3.75245846368551,40.4209040062534,-3.78085002716303,40.4643151105517
28023,28006,"es_barsandrestaurants",160,210,13181.26,1.22,"no",3,"5",-3.68059085538121,40.4366683635042,-3.78085002716303,40.4643151105517
28023,28026,"es_fashion",25,40,1450.2,0.14,"no",3,"25",-3.70581341543113,40.3835614099015,-3.78085002716303,40.4643151105517
28023,28016,"es_home",14,14,621.49,0.4,"no",3,"15",-3.67192360380914,40.4604242172473,-3.78085002716303,40.4643151105517
28023,28005,"all",990,1538,73943.65,0.86,"no",3,"4",-3.71127263886214,40.4071758962516,-3.78085002716303,40.4643151105517
28023,28003,"es_fashion",155,229,14343.34,1.64,"no",3,"2",-3.70358049456422,40.4439344680471,-3.78085002716303,40.4643151105517
28023,28007,"es_food",74,111,4681.98,0.27,"no",3,"6",-3.66959580903937,40.4095130293538,-3.78085002716303,40.4643151105517
28023,28027,"all",511,791,38213.44,0.44,"no",3,"26",-3.64058063068962,40.4433232252492,-3.78085002716303,40.4643151105517
28023,28007,"es_wellnessandbeauty",51,58,2738.45,0.49,"no",3,"6",-3.66959580903937,40.4095130293538,-3.78085002716303,40.4643151105517
