"category","cp_origin","month","exp_in","exp_out","exp_total","exp_in_per","exp_out_per"
"es_leisure","28037",abr 2013,613,1909.3,2522.3,24.3,75.7
"es_leisure","28038",nov 2012,1543,1265.16,2808.16,54.95,45.05
"es_leisure","28038",dic 2012,1707.78,3009.06,4716.84,36.21,63.79
"es_leisure","28038",ene 2013,2521.99,1659.2,4181.19,60.32,39.68
"es_leisure","28038",feb 2013,1612.98,808.88,2421.86,66.6,33.4
"es_leisure","28038",mar 2013,2459.45,1439.95,3899.4,63.07,36.93
"es_leisure","28038",abr 2013,516.81,2462.61,2979.42,17.35,82.65
"es_leisure","28039",nov 2012,0,7607.85,7607.85,0,100
"es_leisure","28039",dic 2012,0,8656.12,8656.12,0,100
"es_leisure","28039",ene 2013,0,6335.55,6335.55,0,100
"es_leisure","28039",feb 2013,0,5763.98,5763.98,0,100
"es_leisure","28039",mar 2013,0,4095.38,4095.38,0,100
"es_leisure","28039",abr 2013,0,3817.5,3817.5,0,100
"es_leisure","28040",nov 2012,0,870,870,0,100
"es_leisure","28040",dic 2012,0,429,429,0,100
"es_leisure","28040",ene 2013,0,684.5,684.5,0,100
"es_leisure","28040",feb 2013,0,659.5,659.5,0,100
"es_leisure","28040",mar 2013,0,243.4,243.4,0,100
"es_leisure","28040",abr 2013,0,113.15,113.15,0,100
"es_leisure","28041",nov 2012,0,3442.08,3442.08,0,100
"es_leisure","28041",dic 2012,0,3723.77,3723.77,0,100
"es_leisure","28041",ene 2013,0,2507.19,2507.19,0,100
"es_leisure","28041",feb 2013,0,1395.35,1395.35,0,100
"es_leisure","28041",mar 2013,0,2345.38,2345.38,0,100
"es_leisure","28041",abr 2013,0,4280.69,4280.69,0,100
"es_leisure","28042",nov 2012,2294.26,4212.21,6506.47,35.26,64.74
"es_leisure","28042",dic 2012,1913.7,3170.82,5084.52,37.64,62.36
"es_leisure","28042",ene 2013,1362.6,2142.4,3505,38.88,61.12
"es_leisure","28042",feb 2013,1440,2801.17,4241.17,33.95,66.05
"es_leisure","28042",mar 2013,1458.45,4351.48,5809.93,25.1,74.9
"es_leisure","28042",abr 2013,158.55,3185.32,3343.87,4.74,95.26
"es_leisure","28043",nov 2012,6460.6,6385.95,12846.55,50.29,49.71
"es_leisure","28043",dic 2012,5748.45,5552.21,11300.66,50.87,49.13
"es_leisure","28043",ene 2013,4225,10287.51,14512.51,29.11,70.89
"es_leisure","28043",feb 2013,4503.7,5831.59,10335.29,43.58,56.42
"es_leisure","28043",mar 2013,6671,4402.25,11073.25,60.24,39.76
"es_leisure","28043",abr 2013,4277.8,5805.62,10083.42,42.42,57.58
"es_leisure","28044",nov 2012,0,936.09,936.09,0,100
"es_leisure","28044",dic 2012,0,891.37,891.37,0,100
"es_leisure","28044",ene 2013,0,1889,1889,0,100
"es_leisure","28044",feb 2013,0,556.75,556.75,0,100
"es_leisure","28044",mar 2013,0,1178.39,1178.39,0,100
"es_leisure","28044",abr 2013,0,1296.42,1296.42,0,100
"es_leisure","28045",nov 2012,3867.84,5377.82,9245.66,41.83,58.17
"es_leisure","28045",dic 2012,3328.3,6391.16,9719.46,34.24,65.76
"es_leisure","28045",ene 2013,2383.7,8637.75,11021.45,21.63,78.37
"es_leisure","28045",feb 2013,1930.65,6305.81,8236.46,23.44,76.56
"es_leisure","28045",mar 2013,2466.95,6709.91,9176.86,26.88,73.12
"es_leisure","28045",abr 2013,2381.95,6637.44,9019.39,26.41,73.59
"es_leisure","28046",nov 2012,0,1372.5,1372.5,0,100
"es_leisure","28046",dic 2012,0,806.9,806.9,0,100
"es_leisure","28046",ene 2013,0,1263.4,1263.4,0,100
"es_leisure","28046",feb 2013,0,1118.9,1118.9,0,100
"es_leisure","28046",mar 2013,0,713.05,713.05,0,100
"es_leisure","28046",abr 2013,0,1252.35,1252.35,0,100
"es_leisure","28047",nov 2012,0,2123.55,2123.55,0,100
"es_leisure","28047",dic 2012,0,2825.19,2825.19,0,100
"es_leisure","28047",ene 2013,0,1907.25,1907.25,0,100
"es_leisure","28047",feb 2013,0,1191.43,1191.43,0,100
"es_leisure","28047",mar 2013,0,1125.29,1125.29,0,100
"es_leisure","28047",abr 2013,0,2868.95,2868.95,0,100
"es_leisure","28049",nov 2012,0,262.84,262.84,0,100
"es_leisure","28049",dic 2012,0,632.9,632.9,0,100
"es_leisure","28049",ene 2013,0,757.1,757.1,0,100
"es_leisure","28049",feb 2013,0,184.4,184.4,0,100
"es_leisure","28049",mar 2013,0,1023.3,1023.3,0,100
"es_leisure","28049",abr 2013,0,950.26,950.26,0,100
"es_leisure","28050",nov 2012,0,3962.13,3962.13,0,100
"es_leisure","28050",dic 2012,0,4515.46,4515.46,0,100
"es_leisure","28050",ene 2013,0,3487.92,3487.92,0,100
"es_leisure","28050",feb 2013,0,4590.38,4590.38,0,100
"es_leisure","28050",mar 2013,0,4386.72,4386.72,0,100
"es_leisure","28050",abr 2013,0,7607.31,7607.31,0,100
"es_leisure","28051",nov 2012,0,799.44,799.44,0,100
"es_leisure","28051",dic 2012,0,568.99,568.99,0,100
"es_leisure","28051",ene 2013,0,528.81,528.81,0,100
"es_leisure","28051",mar 2013,0,582.08,582.08,0,100
"es_leisure","28053",nov 2012,0,2486.25,2486.25,0,100
"es_leisure","28053",dic 2012,0,1103.99,1103.99,0,100
"es_leisure","28053",ene 2013,0,1324.53,1324.53,0,100
"es_leisure","28053",feb 2013,0,2130.53,2130.53,0,100
"es_leisure","28053",mar 2013,0,2666.7,2666.7,0,100
"es_leisure","28053",abr 2013,0,2182.19,2182.19,0,100
"es_leisure","28054",dic 2012,0,1068.1,1068.1,0,100
"es_leisure","28054",ene 2013,0,372.3,372.3,0,100
"es_leisure","28054",feb 2013,0,325.95,325.95,0,100
"es_leisure","28054",mar 2013,0,778.8,778.8,0,100
"es_leisure","28054",abr 2013,0,1020.38,1020.38,0,100
"es_leisure","28055",nov 2012,0,163.2,163.2,0,100
"es_otherservices","28001",nov 2012,12962.45,18040.84,31003.29,41.81,58.19
"es_otherservices","28001",nov 2012,12962.45,18040.84,31003.29,41.81,58.19
"es_otherservices","28001",nov 2012,12962.45,18040.84,31003.29,41.81,58.19
"es_otherservices","28001",nov 2012,12962.45,18040.84,31003.29,41.81,58.19
"es_otherservices","28001",nov 2012,12962.45,18040.84,31003.29,41.81,58.19
"es_otherservices","28001",nov 2012,12962.45,18040.84,31003.29,41.81,58.19
"es_otherservices","28001",nov 2012,12962.45,18040.84,31003.29,41.81,58.19
"es_otherservices","28001",nov 2012,12962.45,18040.84,31003.29,41.81,58.19
"es_otherservices","28001",dic 2012,17726.14,21448.07,39174.21,45.25,54.75
"es_otherservices","28001",dic 2012,17726.14,21448.07,39174.21,45.25,54.75
"es_otherservices","28001",dic 2012,17726.14,21448.07,39174.21,45.25,54.75
"es_otherservices","28001",dic 2012,17726.14,21448.07,39174.21,45.25,54.75
"es_otherservices","28001",dic 2012,17726.14,21448.07,39174.21,45.25,54.75
"es_otherservices","28001",dic 2012,17726.14,21448.07,39174.21,45.25,54.75
"es_otherservices","28001",dic 2012,17726.14,21448.07,39174.21,45.25,54.75
"es_otherservices","28001",dic 2012,17726.14,21448.07,39174.21,45.25,54.75
"es_otherservices","28001",ene 2013,14943.76,20765.27,35709.03,41.85,58.15
"es_otherservices","28001",ene 2013,14943.76,20765.27,35709.03,41.85,58.15
"es_otherservices","28001",ene 2013,14943.76,20765.27,35709.03,41.85,58.15
"es_otherservices","28001",ene 2013,14943.76,20765.27,35709.03,41.85,58.15
"es_otherservices","28001",ene 2013,14943.76,20765.27,35709.03,41.85,58.15
"es_otherservices","28001",ene 2013,14943.76,20765.27,35709.03,41.85,58.15
"es_otherservices","28001",ene 2013,14943.76,20765.27,35709.03,41.85,58.15
"es_otherservices","28001",ene 2013,14943.76,20765.27,35709.03,41.85,58.15
"es_otherservices","28001",feb 2013,13441.79,21325.16,34766.95,38.66,61.34
"es_otherservices","28001",feb 2013,13441.79,21325.16,34766.95,38.66,61.34
"es_otherservices","28001",feb 2013,13441.79,21325.16,34766.95,38.66,61.34
"es_otherservices","28001",feb 2013,13441.79,21325.16,34766.95,38.66,61.34
"es_otherservices","28001",feb 2013,13441.79,21325.16,34766.95,38.66,61.34
"es_otherservices","28001",feb 2013,13441.79,21325.16,34766.95,38.66,61.34
"es_otherservices","28001",feb 2013,13441.79,21325.16,34766.95,38.66,61.34
"es_otherservices","28001",feb 2013,13441.79,21325.16,34766.95,38.66,61.34
"es_otherservices","28001",mar 2013,10114.47,13553.89,23668.36,42.73,57.27
"es_otherservices","28001",mar 2013,10114.47,13553.89,23668.36,42.73,57.27
"es_otherservices","28001",mar 2013,10114.47,13553.89,23668.36,42.73,57.27
"es_otherservices","28001",mar 2013,10114.47,13553.89,23668.36,42.73,57.27
"es_otherservices","28001",mar 2013,10114.47,13553.89,23668.36,42.73,57.27
"es_otherservices","28001",mar 2013,10114.47,13553.89,23668.36,42.73,57.27
"es_otherservices","28001",mar 2013,10114.47,13553.89,23668.36,42.73,57.27
"es_otherservices","28001",mar 2013,10114.47,13553.89,23668.36,42.73,57.27
"es_otherservices","28001",abr 2013,14242.87,17047.15,31290.02,45.52,54.48
"es_otherservices","28001",abr 2013,14242.87,17047.15,31290.02,45.52,54.48
"es_otherservices","28001",abr 2013,14242.87,17047.15,31290.02,45.52,54.48
"es_otherservices","28001",abr 2013,14242.87,17047.15,31290.02,45.52,54.48
"es_otherservices","28001",abr 2013,14242.87,17047.15,31290.02,45.52,54.48
"es_otherservices","28001",abr 2013,14242.87,17047.15,31290.02,45.52,54.48
"es_otherservices","28001",abr 2013,14242.87,17047.15,31290.02,45.52,54.48
"es_otherservices","28001",abr 2013,14242.87,17047.15,31290.02,45.52,54.48
"es_otherservices","28002",nov 2012,24196.56,53207.26,77403.82,31.26,68.74
"es_otherservices","28002",nov 2012,24196.56,53207.26,77403.82,31.26,68.74
"es_otherservices","28002",nov 2012,24196.56,53207.26,77403.82,31.26,68.74
"es_otherservices","28002",nov 2012,24196.56,53207.26,77403.82,31.26,68.74
"es_otherservices","28002",nov 2012,24196.56,53207.26,77403.82,31.26,68.74
"es_otherservices","28002",nov 2012,24196.56,53207.26,77403.82,31.26,68.74
"es_otherservices","28002",nov 2012,24196.56,53207.26,77403.82,31.26,68.74
"es_otherservices","28002",nov 2012,24196.56,53207.26,77403.82,31.26,68.74
"es_otherservices","28002",dic 2012,21704.13,47769.74,69473.87,31.24,68.76
"es_otherservices","28002",dic 2012,21704.13,47769.74,69473.87,31.24,68.76
"es_otherservices","28002",dic 2012,21704.13,47769.74,69473.87,31.24,68.76
"es_otherservices","28002",dic 2012,21704.13,47769.74,69473.87,31.24,68.76
"es_otherservices","28002",dic 2012,21704.13,47769.74,69473.87,31.24,68.76
"es_otherservices","28002",dic 2012,21704.13,47769.74,69473.87,31.24,68.76
"es_otherservices","28002",dic 2012,21704.13,47769.74,69473.87,31.24,68.76
"es_otherservices","28002",dic 2012,21704.13,47769.74,69473.87,31.24,68.76
"es_otherservices","28002",ene 2013,18595.19,42382.41,60977.6,30.5,69.5
"es_otherservices","28002",ene 2013,18595.19,42382.41,60977.6,30.5,69.5
"es_otherservices","28002",ene 2013,18595.19,42382.41,60977.6,30.5,69.5
"es_otherservices","28002",ene 2013,18595.19,42382.41,60977.6,30.5,69.5
"es_otherservices","28002",ene 2013,18595.19,42382.41,60977.6,30.5,69.5
"es_otherservices","28002",ene 2013,18595.19,42382.41,60977.6,30.5,69.5
"es_otherservices","28002",ene 2013,18595.19,42382.41,60977.6,30.5,69.5
"es_otherservices","28002",ene 2013,18595.19,42382.41,60977.6,30.5,69.5
"es_otherservices","28002",feb 2013,19881.74,60597.97,80479.71,24.7,75.3
"es_otherservices","28002",feb 2013,19881.74,60597.97,80479.71,24.7,75.3
"es_otherservices","28002",feb 2013,19881.74,60597.97,80479.71,24.7,75.3
"es_otherservices","28002",feb 2013,19881.74,60597.97,80479.71,24.7,75.3
"es_otherservices","28002",feb 2013,19881.74,60597.97,80479.71,24.7,75.3
"es_otherservices","28002",feb 2013,19881.74,60597.97,80479.71,24.7,75.3
"es_otherservices","28002",feb 2013,19881.74,60597.97,80479.71,24.7,75.3
"es_otherservices","28002",feb 2013,19881.74,60597.97,80479.71,24.7,75.3
"es_otherservices","28002",mar 2013,20370.57,40458.44,60829.01,33.49,66.51
"es_otherservices","28002",mar 2013,20370.57,40458.44,60829.01,33.49,66.51
"es_otherservices","28002",mar 2013,20370.57,40458.44,60829.01,33.49,66.51
"es_otherservices","28002",mar 2013,20370.57,40458.44,60829.01,33.49,66.51
"es_otherservices","28002",mar 2013,20370.57,40458.44,60829.01,33.49,66.51
"es_otherservices","28002",mar 2013,20370.57,40458.44,60829.01,33.49,66.51
"es_otherservices","28002",mar 2013,20370.57,40458.44,60829.01,33.49,66.51
"es_otherservices","28002",mar 2013,20370.57,40458.44,60829.01,33.49,66.51
"es_otherservices","28002",abr 2013,24307.67,49241.22,73548.89,33.05,66.95
"es_otherservices","28002",abr 2013,24307.67,49241.22,73548.89,33.05,66.95
"es_otherservices","28002",abr 2013,24307.67,49241.22,73548.89,33.05,66.95
"es_otherservices","28002",abr 2013,24307.67,49241.22,73548.89,33.05,66.95
"es_otherservices","28002",abr 2013,24307.67,49241.22,73548.89,33.05,66.95
"es_otherservices","28002",abr 2013,24307.67,49241.22,73548.89,33.05,66.95
"es_otherservices","28002",abr 2013,24307.67,49241.22,73548.89,33.05,66.95
"es_otherservices","28002",abr 2013,24307.67,49241.22,73548.89,33.05,66.95
"es_otherservices","28003",nov 2012,17007.97,40193.94,57201.91,29.73,70.27
"es_otherservices","28003",nov 2012,17007.97,40193.94,57201.91,29.73,70.27
"es_otherservices","28003",nov 2012,17007.97,40193.94,57201.91,29.73,70.27
"es_otherservices","28003",nov 2012,17007.97,40193.94,57201.91,29.73,70.27
"es_otherservices","28003",nov 2012,17007.97,40193.94,57201.91,29.73,70.27
"es_otherservices","28003",nov 2012,17007.97,40193.94,57201.91,29.73,70.27
"es_otherservices","28003",nov 2012,17007.97,40193.94,57201.91,29.73,70.27
"es_otherservices","28003",nov 2012,17007.97,40193.94,57201.91,29.73,70.27
"es_otherservices","28003",dic 2012,14177.52,46910.18,61087.7,23.21,76.79
"es_otherservices","28003",dic 2012,14177.52,46910.18,61087.7,23.21,76.79
"es_otherservices","28003",dic 2012,14177.52,46910.18,61087.7,23.21,76.79
"es_otherservices","28003",dic 2012,14177.52,46910.18,61087.7,23.21,76.79
"es_otherservices","28003",dic 2012,14177.52,46910.18,61087.7,23.21,76.79
"es_otherservices","28003",dic 2012,14177.52,46910.18,61087.7,23.21,76.79
"es_otherservices","28003",dic 2012,14177.52,46910.18,61087.7,23.21,76.79
"es_otherservices","28003",dic 2012,14177.52,46910.18,61087.7,23.21,76.79
"es_otherservices","28003",ene 2013,15544.95,36403.58,51948.53,29.92,70.08
"es_otherservices","28003",ene 2013,15544.95,36403.58,51948.53,29.92,70.08
"es_otherservices","28003",ene 2013,15544.95,36403.58,51948.53,29.92,70.08
"es_otherservices","28003",ene 2013,15544.95,36403.58,51948.53,29.92,70.08
"es_otherservices","28003",ene 2013,15544.95,36403.58,51948.53,29.92,70.08
"es_otherservices","28003",ene 2013,15544.95,36403.58,51948.53,29.92,70.08
"es_otherservices","28003",ene 2013,15544.95,36403.58,51948.53,29.92,70.08
"es_otherservices","28003",ene 2013,15544.95,36403.58,51948.53,29.92,70.08
"es_otherservices","28003",feb 2013,15466.13,30534.42,46000.55,33.62,66.38
"es_otherservices","28003",feb 2013,15466.13,30534.42,46000.55,33.62,66.38
"es_otherservices","28003",feb 2013,15466.13,30534.42,46000.55,33.62,66.38
"es_otherservices","28003",feb 2013,15466.13,30534.42,46000.55,33.62,66.38
"es_otherservices","28003",feb 2013,15466.13,30534.42,46000.55,33.62,66.38
"es_otherservices","28003",feb 2013,15466.13,30534.42,46000.55,33.62,66.38
"es_otherservices","28003",feb 2013,15466.13,30534.42,46000.55,33.62,66.38
"es_otherservices","28003",feb 2013,15466.13,30534.42,46000.55,33.62,66.38
"es_otherservices","28003",mar 2013,13357.53,26691.65,40049.18,33.35,66.65
"es_otherservices","28003",mar 2013,13357.53,26691.65,40049.18,33.35,66.65
"es_otherservices","28003",mar 2013,13357.53,26691.65,40049.18,33.35,66.65
"es_otherservices","28003",mar 2013,13357.53,26691.65,40049.18,33.35,66.65
"es_otherservices","28003",mar 2013,13357.53,26691.65,40049.18,33.35,66.65
"es_otherservices","28003",mar 2013,13357.53,26691.65,40049.18,33.35,66.65
"es_otherservices","28003",mar 2013,13357.53,26691.65,40049.18,33.35,66.65
"es_otherservices","28003",mar 2013,13357.53,26691.65,40049.18,33.35,66.65
"es_otherservices","28003",abr 2013,15352.02,48089.77,63441.79,24.2,75.8
"es_otherservices","28003",abr 2013,15352.02,48089.77,63441.79,24.2,75.8
"es_otherservices","28003",abr 2013,15352.02,48089.77,63441.79,24.2,75.8
"es_otherservices","28003",abr 2013,15352.02,48089.77,63441.79,24.2,75.8
"es_otherservices","28003",abr 2013,15352.02,48089.77,63441.79,24.2,75.8
"es_otherservices","28003",abr 2013,15352.02,48089.77,63441.79,24.2,75.8
"es_otherservices","28003",abr 2013,15352.02,48089.77,63441.79,24.2,75.8
"es_otherservices","28003",abr 2013,15352.02,48089.77,63441.79,24.2,75.8
"es_otherservices","28004",nov 2012,19510.93,28731.93,48242.86,40.44,59.56
"es_otherservices","28004",nov 2012,19510.93,28731.93,48242.86,40.44,59.56
"es_otherservices","28004",nov 2012,19510.93,28731.93,48242.86,40.44,59.56
"es_otherservices","28004",nov 2012,19510.93,28731.93,48242.86,40.44,59.56
"es_otherservices","28004",nov 2012,19510.93,28731.93,48242.86,40.44,59.56
"es_otherservices","28004",nov 2012,19510.93,28731.93,48242.86,40.44,59.56
"es_otherservices","28004",nov 2012,19510.93,28731.93,48242.86,40.44,59.56
"es_otherservices","28004",nov 2012,19510.93,28731.93,48242.86,40.44,59.56
"es_otherservices","28004",dic 2012,16844.41,26776.1,43620.51,38.62,61.38
"es_otherservices","28004",dic 2012,16844.41,26776.1,43620.51,38.62,61.38
"es_otherservices","28004",dic 2012,16844.41,26776.1,43620.51,38.62,61.38
"es_otherservices","28004",dic 2012,16844.41,26776.1,43620.51,38.62,61.38
"es_otherservices","28004",dic 2012,16844.41,26776.1,43620.51,38.62,61.38
"es_otherservices","28004",dic 2012,16844.41,26776.1,43620.51,38.62,61.38
"es_otherservices","28004",dic 2012,16844.41,26776.1,43620.51,38.62,61.38
"es_otherservices","28004",dic 2012,16844.41,26776.1,43620.51,38.62,61.38
"es_otherservices","28004",ene 2013,16801.9,27239.85,44041.75,38.15,61.85
"es_otherservices","28004",ene 2013,16801.9,27239.85,44041.75,38.15,61.85
"es_otherservices","28004",ene 2013,16801.9,27239.85,44041.75,38.15,61.85
"es_otherservices","28004",ene 2013,16801.9,27239.85,44041.75,38.15,61.85
"es_otherservices","28004",ene 2013,16801.9,27239.85,44041.75,38.15,61.85
"es_otherservices","28004",ene 2013,16801.9,27239.85,44041.75,38.15,61.85
"es_otherservices","28004",ene 2013,16801.9,27239.85,44041.75,38.15,61.85
"es_otherservices","28004",ene 2013,16801.9,27239.85,44041.75,38.15,61.85
"es_otherservices","28004",feb 2013,17564.87,19407.53,36972.4,47.51,52.49
"es_otherservices","28004",feb 2013,17564.87,19407.53,36972.4,47.51,52.49
"es_otherservices","28004",feb 2013,17564.87,19407.53,36972.4,47.51,52.49
"es_otherservices","28004",feb 2013,17564.87,19407.53,36972.4,47.51,52.49
"es_otherservices","28004",feb 2013,17564.87,19407.53,36972.4,47.51,52.49
"es_otherservices","28004",feb 2013,17564.87,19407.53,36972.4,47.51,52.49
"es_otherservices","28004",feb 2013,17564.87,19407.53,36972.4,47.51,52.49
"es_otherservices","28004",feb 2013,17564.87,19407.53,36972.4,47.51,52.49
"es_otherservices","28004",mar 2013,15804.97,25733.99,41538.96,38.05,61.95
"es_otherservices","28004",mar 2013,15804.97,25733.99,41538.96,38.05,61.95
"es_otherservices","28004",mar 2013,15804.97,25733.99,41538.96,38.05,61.95
"es_otherservices","28004",mar 2013,15804.97,25733.99,41538.96,38.05,61.95
"es_otherservices","28004",mar 2013,15804.97,25733.99,41538.96,38.05,61.95
"es_otherservices","28004",mar 2013,15804.97,25733.99,41538.96,38.05,61.95
"es_otherservices","28004",mar 2013,15804.97,25733.99,41538.96,38.05,61.95
"es_otherservices","28004",mar 2013,15804.97,25733.99,41538.96,38.05,61.95
"es_otherservices","28004",abr 2013,15572.68,20256.24,35828.92,43.46,56.54
"es_otherservices","28004",abr 2013,15572.68,20256.24,35828.92,43.46,56.54
"es_otherservices","28004",abr 2013,15572.68,20256.24,35828.92,43.46,56.54
"es_otherservices","28004",abr 2013,15572.68,20256.24,35828.92,43.46,56.54
"es_otherservices","28004",abr 2013,15572.68,20256.24,35828.92,43.46,56.54
"es_otherservices","28004",abr 2013,15572.68,20256.24,35828.92,43.46,56.54
"es_otherservices","28004",abr 2013,15572.68,20256.24,35828.92,43.46,56.54
"es_otherservices","28004",abr 2013,15572.68,20256.24,35828.92,43.46,56.54
"es_otherservices","28005",nov 2012,24103.44,36998.17,61101.61,39.45,60.55
"es_otherservices","28005",nov 2012,24103.44,36998.17,61101.61,39.45,60.55
"es_otherservices","28005",nov 2012,24103.44,36998.17,61101.61,39.45,60.55
"es_otherservices","28005",nov 2012,24103.44,36998.17,61101.61,39.45,60.55
"es_otherservices","28005",nov 2012,24103.44,36998.17,61101.61,39.45,60.55
"es_otherservices","28005",nov 2012,24103.44,36998.17,61101.61,39.45,60.55
"es_otherservices","28005",nov 2012,24103.44,36998.17,61101.61,39.45,60.55
"es_otherservices","28005",nov 2012,24103.44,36998.17,61101.61,39.45,60.55
"es_otherservices","28005",dic 2012,25574.06,40701.1,66275.16,38.59,61.41
"es_otherservices","28005",dic 2012,25574.06,40701.1,66275.16,38.59,61.41
"es_otherservices","28005",dic 2012,25574.06,40701.1,66275.16,38.59,61.41
"es_otherservices","28005",dic 2012,25574.06,40701.1,66275.16,38.59,61.41
"es_otherservices","28005",dic 2012,25574.06,40701.1,66275.16,38.59,61.41
"es_otherservices","28005",dic 2012,25574.06,40701.1,66275.16,38.59,61.41
"es_otherservices","28005",dic 2012,25574.06,40701.1,66275.16,38.59,61.41
"es_otherservices","28005",dic 2012,25574.06,40701.1,66275.16,38.59,61.41
"es_otherservices","28005",ene 2013,24579,36387.93,60966.93,40.32,59.68
"es_otherservices","28005",ene 2013,24579,36387.93,60966.93,40.32,59.68
"es_otherservices","28005",ene 2013,24579,36387.93,60966.93,40.32,59.68
"es_otherservices","28005",ene 2013,24579,36387.93,60966.93,40.32,59.68
"es_otherservices","28005",ene 2013,24579,36387.93,60966.93,40.32,59.68
"es_otherservices","28005",ene 2013,24579,36387.93,60966.93,40.32,59.68
"es_otherservices","28005",ene 2013,24579,36387.93,60966.93,40.32,59.68
"es_otherservices","28005",ene 2013,24579,36387.93,60966.93,40.32,59.68
"es_otherservices","28005",feb 2013,17643.91,31191.45,48835.36,36.13,63.87
"es_otherservices","28005",feb 2013,17643.91,31191.45,48835.36,36.13,63.87
"es_otherservices","28005",feb 2013,17643.91,31191.45,48835.36,36.13,63.87
"es_otherservices","28005",feb 2013,17643.91,31191.45,48835.36,36.13,63.87
"es_otherservices","28005",feb 2013,17643.91,31191.45,48835.36,36.13,63.87
"es_otherservices","28005",feb 2013,17643.91,31191.45,48835.36,36.13,63.87
"es_otherservices","28005",feb 2013,17643.91,31191.45,48835.36,36.13,63.87
"es_otherservices","28005",feb 2013,17643.91,31191.45,48835.36,36.13,63.87
"es_otherservices","28005",mar 2013,18996.88,33749.71,52746.59,36.02,63.98
"es_otherservices","28005",mar 2013,18996.88,33749.71,52746.59,36.02,63.98
"es_otherservices","28005",mar 2013,18996.88,33749.71,52746.59,36.02,63.98
"es_otherservices","28005",mar 2013,18996.88,33749.71,52746.59,36.02,63.98
"es_otherservices","28005",mar 2013,18996.88,33749.71,52746.59,36.02,63.98
"es_otherservices","28005",mar 2013,18996.88,33749.71,52746.59,36.02,63.98
"es_otherservices","28005",mar 2013,18996.88,33749.71,52746.59,36.02,63.98
"es_otherservices","28005",mar 2013,18996.88,33749.71,52746.59,36.02,63.98
"es_otherservices","28005",abr 2013,23050.16,35106.95,58157.11,39.63,60.37
"es_otherservices","28005",abr 2013,23050.16,35106.95,58157.11,39.63,60.37
"es_otherservices","28005",abr 2013,23050.16,35106.95,58157.11,39.63,60.37
"es_otherservices","28005",abr 2013,23050.16,35106.95,58157.11,39.63,60.37
"es_otherservices","28005",abr 2013,23050.16,35106.95,58157.11,39.63,60.37
"es_otherservices","28005",abr 2013,23050.16,35106.95,58157.11,39.63,60.37
"es_otherservices","28005",abr 2013,23050.16,35106.95,58157.11,39.63,60.37
"es_otherservices","28005",abr 2013,23050.16,35106.95,58157.11,39.63,60.37
"es_otherservices","28006",nov 2012,17340.2,41152.11,58492.31,29.65,70.35
"es_otherservices","28006",nov 2012,17340.2,41152.11,58492.31,29.65,70.35
"es_otherservices","28006",nov 2012,17340.2,41152.11,58492.31,29.65,70.35
"es_otherservices","28006",nov 2012,17340.2,41152.11,58492.31,29.65,70.35
"es_otherservices","28006",nov 2012,17340.2,41152.11,58492.31,29.65,70.35
"es_otherservices","28006",nov 2012,17340.2,41152.11,58492.31,29.65,70.35
"es_otherservices","28006",nov 2012,17340.2,41152.11,58492.31,29.65,70.35
"es_otherservices","28006",nov 2012,17340.2,41152.11,58492.31,29.65,70.35
"es_otherservices","28006",dic 2012,15218.39,43819.99,59038.38,25.78,74.22
"es_otherservices","28006",dic 2012,15218.39,43819.99,59038.38,25.78,74.22
"es_otherservices","28006",dic 2012,15218.39,43819.99,59038.38,25.78,74.22
"es_otherservices","28006",dic 2012,15218.39,43819.99,59038.38,25.78,74.22
"es_otherservices","28006",dic 2012,15218.39,43819.99,59038.38,25.78,74.22
"es_otherservices","28006",dic 2012,15218.39,43819.99,59038.38,25.78,74.22
"es_otherservices","28006",dic 2012,15218.39,43819.99,59038.38,25.78,74.22
"es_otherservices","28006",dic 2012,15218.39,43819.99,59038.38,25.78,74.22
"es_otherservices","28006",ene 2013,13625.03,39901.97,53527,25.45,74.55
"es_otherservices","28006",ene 2013,13625.03,39901.97,53527,25.45,74.55
"es_otherservices","28006",ene 2013,13625.03,39901.97,53527,25.45,74.55
"es_otherservices","28006",ene 2013,13625.03,39901.97,53527,25.45,74.55
"es_otherservices","28006",ene 2013,13625.03,39901.97,53527,25.45,74.55
"es_otherservices","28006",ene 2013,13625.03,39901.97,53527,25.45,74.55
"es_otherservices","28006",ene 2013,13625.03,39901.97,53527,25.45,74.55
"es_otherservices","28006",ene 2013,13625.03,39901.97,53527,25.45,74.55
"es_otherservices","28006",feb 2013,12247.53,31622.53,43870.06,27.92,72.08
"es_otherservices","28006",feb 2013,12247.53,31622.53,43870.06,27.92,72.08
"es_otherservices","28006",feb 2013,12247.53,31622.53,43870.06,27.92,72.08
"es_otherservices","28006",feb 2013,12247.53,31622.53,43870.06,27.92,72.08
"es_otherservices","28006",feb 2013,12247.53,31622.53,43870.06,27.92,72.08
"es_otherservices","28006",feb 2013,12247.53,31622.53,43870.06,27.92,72.08
"es_otherservices","28006",feb 2013,12247.53,31622.53,43870.06,27.92,72.08
"es_otherservices","28006",feb 2013,12247.53,31622.53,43870.06,27.92,72.08
"es_otherservices","28006",mar 2013,10077.66,35332.82,45410.48,22.19,77.81
"es_otherservices","28006",mar 2013,10077.66,35332.82,45410.48,22.19,77.81
"es_otherservices","28006",mar 2013,10077.66,35332.82,45410.48,22.19,77.81
"es_otherservices","28006",mar 2013,10077.66,35332.82,45410.48,22.19,77.81
